iter	Passed	Remaining
400	20729	496222
401	20779	496129
402	20828	496004
403	20877	495903
404	20921	495649
405	20967	495465
406	21014	495321
407	21074	495445
408	21121	495292
409	21170	495183
410	21219	495060
411	21264	494855
412	21311	494705
413	21360	494602
414	21408	494452
415	21455	494301
416	21508	494277
417	21561	494271
418	21616	494291
419	21681	494550
420	21743	494723
421	21802	494837
422	21854	494799
423	21902	494666
424	21948	494490
425	21998	494407
426	22057	494500
427	22120	494723
428	22173	494691
429	22224	494627
430	22278	494615
431	22327	494505
432	22376	494407
433	22425	494298
434	22474	494176
435	22526	494131
436	22576	494041
437	22627	493985
438	22677	493885
439	22724	493750
440	22773	493636
441	22823	493543
442	22869	493363
443	22914	493175
444	22958	492965
445	23008	492867
446	23055	492719
447	23112	492800
448	23160	492663
449	23210	492582
450	23260	492500
451	23312	492443
452	23360	492333
453	23410	492233
454	23455	492056
455	23504	491943
456	23559	491966
457	23612	491949
458	23664	491912
459	23730	492155
460	23787	492210
461	23832	492017
462	23876	491807
463	23922	491640
464	23968	491492
465	24018	491404
466	24066	491274
467	24124	491356
468	24175	491298
469	24226	491234
470	24273	491092
471	24327	491089
472	24389	491236
473	24445	491282
474	24492	491134
475	24540	491020
476	24588	490894
477	24637	490789
478	24684	490644
479	24731	490507
480	24780	490410
481	24828	490295
482	24875	490153
483	24922	490007
484	24966	489806
485	25014	489678
486	25064	489607
487	25125	489739
488	25173	489631
489	25218	489441
490	25259	489200
491	25302	488971
492	25345	488756
493	25391	488597
494	25438	488467
495	25481	488249
496	25524	488052
497	25571	487904
498	25621	487832
499	25671	487762
500	25761	488431
501	25815	488442
502	25873	488505
503	25934	488647
504	25991	488695
505	26043	488652
506	26097	488650
507	26170	488993
508	26227	489046
509	26279	489007
510	26331	488954
511	26385	488957
512	26434	488857
513	26480	488703
514	26527	488564
515	26574	488437
516	26631	488491
517	26684	488453
518	26751	488688
519	26814	488857
520	26861	488706
521	26910	488610
522	26957	488488
523	27004	488350
524	27050	488191
525	27099	488093
526	27145	487953
527	27212	488173
528	27256	487994
529	27307	487923
530	27348	487684
531	27390	487465
532	27434	487287
533	27480	487144
534	27525	486973
535	27571	486824
536	27617	486671
537	27662	486511
538	27709	486388
539	27755	486227
540	27800	486076
541	27847	485939
542	27891	485767
543	27936	485607
544	27979	485413
545	28024	485236
546	28073	485148
547	28116	484965
548	28163	484826
549	28236	485159
550	28284	485044
551	28332	484938
552	28380	484827
553	28426	484686
554	28473	484558
555	28518	484400
556	28561	484217
557	28607	484068
558	28655	483958
559	28702	483837
560	28746	483670
561	28794	483556
562	28840	483418
563	28887	483297
564	28933	483164
565	28979	483033
566	29029	482950
567	29070	482741
568	29113	482548
569	29157	482375
570	29223	482578
571	29270	482443
572	29314	482281
573	29363	482191
574	29409	482054
575	29455	481918
576	29498	481733
577	29543	481592
578	29591	481487
579	29637	481350
580	29684	481235
581	29735	481183
582	29784	481101
583	29834	481029
584	29880	480900
585	29926	480769
586	29972	480629
587	30018	480496
588	30063	480345
589	30107	480187
590	30153	480054
591	30198	479913
592	30260	480035
593	30305	479890
594	30354	479801
595	30400	479677
596	30444	479520
597	30489	479368
598	30535	479242
599	30579	479077
600	30623	478920
601	30675	478882
602	30730	478896
603	30778	478801
604	30824	478675
605	30876	478630
606	30928	478607
607	30975	478486
608	31025	478418
609	31074	478348
610	31123	478256
611	31170	478146
612	31217	478046
613	31283	478221
614	31331	478128
615	31377	477990
616	31419	477807
617	31462	477641
618	31509	477536
619	31555	477397
620	31604	477320
621	31652	477234
622	31705	477212
623	31751	477080
624	31802	477030
625	31845	476866
626	31890	476726
627	31933	476565
628	31976	476398
629	32020	476246
630	32065	476108
631	32112	475999
632	32158	475879
633	32203	475744
634	32250	475632
635	32314	475778
636	32358	475630
637	32403	475481
638	32452	475413
639	32503	475360
640	32549	475240
641	32596	475139
642	32648	475098
643	32696	475011
644	32742	474898
645	32788	474778
646	32840	474736
647	32905	474901
648	32955	474837
649	33005	474764
650	33051	474654
651	33096	474515
652	33140	474371
653	33186	474255
654	33235	474175
655	33286	474135
656	33354	474324
657	33412	474379
658	33463	474329
659	33516	474307
660	33566	474240
661	33611	474121
662	33657	474001
663	33702	473860
664	33747	473735
665	33799	473696
666	33850	473648
667	33900	473587
668	33947	473494
669	33994	473387
670	34039	473250
671	34083	473116
672	34128	472980
673	34179	472939
674	34229	472871
675	34281	472846
676	34327	472719
677	34395	472913
678	34439	472762
679	34484	472642
680	34530	472521
681	34574	472385
682	34622	472292
683	34670	472205
684	34717	472110
685	34764	472013
686	34812	471913
687	34861	471844
688	34909	471765
689	34957	471678
690	35008	471631
691	35055	471531
692	35104	471455
693	35150	471345
694	35199	471265
695	35250	471220
696	35297	471129
697	35348	471080
698	35424	471359
699	35480	471378
700	35531	471331
701	35588	471367
702	35647	471427
703	35697	471371
704	35749	471329
705	35800	471282
706	35849	471211
707	35901	471182
708	35952	471128
709	36001	471064
710	36050	470989
711	36098	470899
712	36145	470799
713	36193	470718
714	36244	470665
715	36294	470608
716	36342	470520
717	36388	470414
718	36452	470537
719	36499	470443
720	36543	470304
721	36591	470217
722	36636	470093
723	36682	469981
724	36727	469857
725	36778	469808
726	36826	469726
727	36871	469609
728	36923	469566
729	36975	469534
730	37030	469540
731	37079	469468
732	37130	469419
733	37180	469366
734	37231	469314
735	37278	469216
736	37328	469159
737	37378	469104
738	37430	469069
739	37512	469407
740	37559	469314
741	37607	469236
742	37656	469160
743	37709	469133
744	37765	469156
745	37816	469102
746	37862	468993
747	37905	468850
748	37960	468857
749	38010	468794
750	38063	468771
751	38110	468679
752	38156	468565
753	38200	468434
754	38246	468327
755	38295	468263
756	38342	468163
757	38388	468060
758	38434	467943
759	38494	468011
760	38547	467993
761	38592	467868
762	38636	467740
763	38682	467630
764	38730	467554
765	38779	467483
766	38828	467408
767	38874	467307
768	38926	467269
769	38982	467281
770	39037	467285
771	39093	467295
772	39143	467243
773	39211	467391
774	39274	467488
775	39328	467484
776	39384	467494
777	39434	467439
778	39484	467373
779	39551	467516
780	39600	467443
781	39646	467345
782	39691	467222
783	39737	467120
784	39788	467068
785	39833	466954
786	39877	466819
787	39923	466714
788	39971	466637
789	40019	466561
790	40068	466491
791	40122	466475
792	40184	466554
793	40239	466550
794	40291	466522
795	40339	466438
796	40386	466348
797	40435	466275
798	40483	466195
799	40528	466080
800	40611	466400
801	40658	466310
802	40710	466264
803	40765	466268
804	40815	466212
805	40868	466185
806	40924	466194
807	40976	466160
808	41035	466203
809	41089	466183
810	41147	466216
811	41197	466164
812	41246	466087
813	41295	466014
814	41341	465920
815	41392	465870
816	41444	465828
817	41492	465756
818	41541	465677
819	41689	466721
820	41738	466647
821	41786	466567
822	41831	466449
823	41885	466435
824	41946	466490
825	42001	466486
826	42050	466424
827	42102	466382
828	42152	466319
829	42204	466279
830	42252	466200
831	42307	466191
832	42357	466139
833	42406	466068
834	42452	465962
